quarter,jv_to_ue
2002-Q1,0.35
2002-Q2,0.4
2002-Q3,0.37
2002-Q4,0.31
2003-Q1,0.29
2003-Q2,0.27
2003-Q3,0.21
2003-Q4,0.3
2004-Q1,0.35
2004-Q2,0.34
2004-Q3,0.47
2004-Q4,0.42
2005-Q1,0.44
2005-Q2,0.45
2005-Q3,0.43
2005-Q4,0.56
2006-Q1,0.58
2006-Q2,0.65
2006-Q3,0.65
2006-Q4,0.75
2007-Q1,0.81
2007-Q2,0.96
2007-Q3,1.25
2007-Q4,1.42
2008-Q1,1.31
2008-Q2,1
2008-Q3,0.84
2008-Q4,0.53
2009-Q1,0.37
2009-Q2,0.4
2009-Q3,0.54
2009-Q4,0.78
2010-Q1,0.87
2010-Q2,0.98
2010-Q3,1.06
2010-Q4,1.03
2011-Q1,1.3
2011-Q2,1.24
2011-Q3,1.15
2011-Q4,1.16
2012-Q1,1.03
2012-Q2,0.98
2012-Q3,1.23
2012-Q4,1.04
2013-Q1,1.15
2013-Q2,1.19
2013-Q3,1.4
2013-Q4,1.4
2014-Q1,1.32
2014-Q2,1.41
2014-Q3,1.41
2014-Q4,1.39
2015-Q1,1.41
2015-Q2,1.24
2015-Q3,1.18
2015-Q4,1.12
2016-Q1,1.04
2016-Q2,0.9
2016-Q3,0.93
2016-Q4,0.78
2017-Q1,0.79
2017-Q2,0.84
2017-Q3,0.92
2017-Q4,0.95
2018-Q1,1.02
2018-Q2,1.08
2018-Q3,1.1
2018-Q4,1.11
2019-Q1,1.01
2019-Q2,0.9
2019-Q3,0.89
2019-Q4,0.85
2020-Q1,0.66
2020-Q2,0.53
2020-Q3,0.65
2020-Q4,0.78
2021-Q1,0.97
2021-Q2,1.6
2021-Q3,2.02
2021-Q4,2.16
2022-Q1,2.36
2022-Q2,2.57
2022-Q3,2.02
2022-Q4,2.33
2023-Q1,2.28
2023-Q2,1.94
2023-Q3,1.58
