month,work_pass_type,count
2017-12,employment_pass,187700
2017-12,s_pass,184400
2017-12,work_permit,965200
2017-12,other_work_passes,30700
2018-12,employment_pass,"185,800"
2018-12,s_pass,"195,500"
2018-12,work_permit,972600
2018-12,other_work_passes,32100
2019-12,employment_pass,193700
2019-12,s_pass,200000
2019-12,work_permit,999000
2019-12,other_work_passes,34700
2020-12,employment_pass,"177,100"
2020-12,s_pass,"174,000"
2020-12,work_permit,"848,200"
2020-12,other_work_passes,"32,200"
2021-12,employment_pass,161700
2021-12,s_pass,161800
2021-12,work_permit,849700
2021-12,other_work_passes,27200
2022-12,employment_pass,187300
2022-12,s_pass,177900
2022-12,work_permit,1033500
2022-12,other_work_passes,25400
