,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject: Religion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Census of Population and General Household Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Resident Population Aged 15 Years and Over by Age Group, Religion and Sex (General Household Survey 2015)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 16/03/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thousands,
Age Group,Total,,,No Religion,,,Buddhism,,,Taoism1/,,,Islam,,,Hinduism,,,Sikhism,,,Christianity- Catholic,,,Christianity- Other Christians,,,Other Religions,,,
,Total,Males,Females,Total,Males,Females,Total,Males,Females,Total,Males,Females,Total,Males,Females,Total,Males,Females,Total,Males,Females,Total,Males,Females,Total,Males,Females,Total,Males,Females,
Total,3275.9,1589.6,1686.3,604.5,317.2,287.3,1087.3,522.4,564.9,326.4,160.7,165.6,459.8,226,233.8,162.5,81.3,81.2,11.5,5.2,6.3,220.9,98.1,122.8,395.2,174.7,220.5,7.9,4,3.9,
  15 - 19,254.6,131.9,122.7,56.6,30.1,26.4,70.1,36.6,33.5,14.6,7.4,7.1,49.6,25.7,23.8,12.9,6.7,6.3,0.9,0.4,0.5,17.4,8.5,8.8,32,16.2,15.8,0.6,0.3,0.4,
  20 - 24,256.8,132.4,124.4,61,31.7,29.4,67.8,35.1,32.7,17.7,9.7,8,51.8,26.6,25.2,9.6,5.1,4.5,0.8,0.2,0.6,15.2,7.4,7.8,32.5,16.4,16.1,0.4,0.3,0.1,
  25 - 29,244.3,119.6,124.7,58.7,31.8,26.8,67.8,31.8,36,19.5,9.2,10.2,46.2,23.2,23,9.5,3.7,5.7,0.8,0.3,0.6,13.8,6.6,7.2,27.6,12.8,14.8,0.6,0.2,0.4,
  30 - 34,271.2,127.3,143.9,56.6,27.4,29.2,83.8,39.4,44.4,23.1,11.6,11.4,40.8,19.4,21.4,19.6,8.4,11.1,1.3,0.8,0.5,16.5,7.3,9.2,29.2,12.8,16.5,0.4,0.2,0.2,
  35 - 39,300.5,140.5,160,60.8,29.4,31.4,100,45.2,54.7,23.2,12.3,10.9,34.1,16.5,17.6,22.8,10.7,12.1,0.9,0.5,0.4,23.3,10,13.3,34.5,15.4,19.1,1,0.6,0.4,
  40 - 44,315.6,151.5,164.1,58.8,29,29.8,107.1,52.2,54.9,23.2,11.3,11.9,33.7,16.1,17.6,22.8,12.8,10,0.8,0.4,0.4,24.4,10.9,13.5,44.2,18.4,25.9,0.6,0.4,0.2,
  45 - 49,301.6,146.5,155,53.5,27.6,25.9,103.9,49.7,54.2,24.4,11.6,12.8,41.7,19.9,21.8,16.5,10,6.5,0.9,0.3,0.6,19.2,9,10.2,40.8,18,22.7,0.8,0.4,0.3,
