,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject: Religion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Census of Population and General Household Survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Resident Population Aged 15 Years and Over by Age Group, Religion and Sex (Census of Population 2020)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 16/06/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Number,
Age Group,Total,,,No Religion,,,Buddhism,,,Taoism1/,,,Islam,,,Hinduism,,,Sikhism,,,Christianity,,,,,,Other Religions,,,
,Total,Males,Females,Total,Males,Females,Total,Males,Females,Total,Males,Females,Total,Males,Females,Total,Males,Females,Total,Males,Females,Catholic,,,Other Christians,,,Total,Males,Females,
,,,,,,,,,,,,,,,,,,,,,,Total,Males,Females,Total,Males,Females,,,,
Total,3459093,1663560,1795534,692528,356071,336457,1074159,512493,561666,303960,149247,154713,539251,263134,276117,172963,86414,86548,12051,6196,5855,242681,106084,136597,411674,179298,232376,9827,4623,5204,
  15 - 19,218030,111663,106366,51906,26463,25443,52629,26895,25734,10610,5833,4777,46457,24308,22149,13767,6556,7211,642,351,291,15802,7844,7958,25636,13074,12562,580,338,241,
  20 - 24,240781,123657,117125,58972,30503,28470,61735,32421,29315,11998,6084,5913,51511,26571,24940,11044,5362,5682,1007,554,453,15847,7778,8069,28090,14073,14016,577,310,267,
  25 - 29,287103,142027,145075,74577,38931,35646,71450,34767,36683,17014,8288,8726,58981,29177,29804,12023,5718,6306,1020,574,445,16243,7917,8326,35106,16308,18798,688,349,339,
  30 - 34,298499,141496,157003,78606,37504,41102,81006,37921,43085,18641,9471,9170,54546,27095,27451,11681,5302,6378,1172,608,564,17464,7698,9766,34839,15635,19204,544,262,282,
  35 - 39,298623,139484,159139,69948,33851,36097,86834,40758,46077,21178,10274,10904,47857,23248,24609,19033,8150,10883,785,461,324,19571,8742,10829,32551,13641,18911,865,359,506,
  40 - 44,298605,139205,159400,63492,30165,33327,93373,43331,50042,22064,11335,10729,37186,17631,19555,22524,11517,11006,793,408,385,23838,10023,13815,34685,14506,20178,651,288,363,
  45 - 49,311730,150934,160795,59769,29624,30145,101781,49956,51826,20704,10186,10518,39766,19179,20588,21089,12382,8707,991,533,458,24681,10982,13700,41851,17607,24244,1096,486,610,
  50 - 54,294348,143505,150842,51382,26330,25052,100084,48113,51971,22621,11876,10746,43629,20579,23050,16514,9455,7060,1164,629,535,21214,9842,11371,36895,16233,20663,844,449,395,
  55 - 59,306354,149740,156614,47666,25448,22218,106189,52153,54035,28982,14804,14178,50170,24141,26029,14358,7732,6625,1188,601,587,18956,8111,10846,37917,16320,21597,928,430,498,
  60 - 64,286020,138929,147092,42707,22973,19734,101394,50046,51348,33176,16599,16577,41329,20147,21182,11359,5573,5786,1040,514,526,19191,7463,11728,34815,15152,19663,1010,462,548,
  65 - 69,229381,112404,116976,35903,20607,15295,81057,39708,41350,31314,15457,15857,28950,14071,14879,7804,3804,4000,790,367,423,17119,7291,9827,25773,10775,14997,672,325,347,
  70 - 74,173602,82708,90894,27215,16275,10940,60649,27925,32724,27100,13360,13740,19264,8653,10610,5710,2572,3137,522,281,241,13636,5515,8121,18772,7831,10941,735,296,439,
  75 - 79,92560,40968,51592,14870,9002,5868,32263,13255,19008,16812,7460,9352,8766,3868,4898,2322,812,1510,346,88,258,7285,3005,4280,9606,3332,6274,290,146,144,
  80 - 84,67220,27551,39669,9192,5048,4143,23260,9210,14050,11512,4888,6624,6443,2707,3736,1997,784,1213,341,114,227,6325,2109,4216,7946,2623,5323,204,67,138,
  85 & Over,56238,19287,36951,6323,3346,2977,20455,6035,14419,10233,3332,6901,4395,1758,2637,1738,695,1044,251,113,138,5510,1764,3746,7192,2189,5003,143,56,87,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taoism:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1/ 'Taoism' includes Chinese Traditional Beliefs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resident Population:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resident population comprises two groups of people. They are Singapore Citizens and Permanent Residents. The latter group refers to non-Citizens who have been granted permanent residence here.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notation:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
na   not available or not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nec  not elsewhere classified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nes  not elsewhere specified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 -     nil or negligible or not significant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values are shown in Singapore dollars (unless otherwise specified).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated by: SingStat Table Builder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date generated: 20/01/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
